Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Indonesia,Pontianak,44.0,1.0,15.0,0.0,44,-0.0226903,109.3447488,1
Philippines,Dipolog,30.0,1.0,17.0,0.0,30,8.5864062,123.3449371,1
Philippines,Guiset,66.0,1.0,26.0,1.0,66,15.7208747,120.7775143,1
Indonesia,Tidore,21.0,0.0,13.0,0.0,21,0.6786796,127.4483156,1
Philippines,Toboso,54.0,1.0,20.0,0.0,54,10.7169474,123.5135576,1
Philippines,Jasaan,59.0,1.0,32.0,0.0,59,8.6504031,124.7547085,1
Philippines,Indang,50.0,0.0,24.0,0.0,50,14.1958306,120.8784148,1
Thailand,Sungai Kolok,65.0,1.0,34.0,0.0,65,5.9647397,101.9428436,1
Indonesia,Sungaipenuh,17.0,1.0,13.0,0.0,17,-2.0626480000000003,101.40162048740046,1
Philippines,Tagaytay,41.0,1.0,25.0,1.0,41,14.1031439,120.9320545,1
Philippines,Talacogon,37.0,1.0,19.0,0.0,37,8.4486711,125.7861565,1
Philippines,Tantangan,35.0,1.0,20.0,0.0,35,6.6191395,124.748923,1
Indonesia,Tarogong,88.0,2.0,51.25,1.0,88,-7.2004633,107.8784677,2
Myanmar,Akyab,136.25,1.0,46.0,0.0,135,20.15,92.9,2
Malaysia,Ayer Keroh,59.0,1.0,34.0,0.0,59,2.255986,102.2915442,1
Thailand,Ban Phai,52.0,0.0,28.0,0.0,52,16.0595155,102.7254663,1
Malaysia,Bandar Penggaram,76.0,1.0,39.0,0.0,76,1.8472584,102.9346697,1
Philippines,Bangued,27.0,0.0,23.0,0.0,27,17.5965664,120.6179987,1
Malaysia,Batu Gajah,92.0,2.0,51.25,1.0,92,4.470533,101.036989,2
Philippines,Catbalogan,68.0,1.0,26.0,0.0,68,11.7753199,124.8829549,1
Indonesia,Binjai,92.0,2.0,45.0,0.0,92,3.6063964,98.4899865,2
Philippines,Baras,51.0,1.0,27.0,1.0,51,13.6643872,124.44613011834204,1
Thailand,Nong Bua,38.0,0.0,20.0,0.0,38,14.0604662,99.4473663,1
Thailand,Nong Han,57.0,0.0,25.0,0.0,57,18.9493272,98.9829111,1
